rid,treatment,number,trait,age,gender,sexuality,"race, ethnicity, nationality",education,religion,family role,occupation,political views,hobbies and interests,physical body,"personality, behaviors, traits",ambiguous,none,other
64af4845-b796-197b-e753-8cd8b8d58606,neighbor,trait1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait10, a senior citizen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af6f1b-4fc9-7dde-43fb-07d110a9425e,coworker,trait5, fast learner,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af48ac-2bd4-e57a-753c-0a9a50f83e6a,friend,trait4, Good moral code,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait8,a musician,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait4,a parent,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait5,a pet parent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait9,a retail worker,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait6,a spouse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait3,a student,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait1,a woman,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64af478e-958e-213d-a5df-c143fa742dce,friend,trait9,Able to have fun not always serious,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait9,Absolute ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4892-0026-d304-14c6-bf0ee0ca010e,friend,trait2,Acceptance,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47f0-c3a1-c5b2-9f57-4566dd648c94,coworker,trait10,accepting ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47d5-d253-b1e5-d37e-6c5e4c71c0c1,coworker,trait4,accurate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af482d-28b8-56ad-1875-3f26d175d91d,specific,trait7,Actively participating in all indoor and outdoor activities ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7385-038d-4139-479f-aefed21d11c4,general,trait5,Adventure ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af479e-58a1-fb9f-6b6a-ae4e012deb56,coworker,trait2,Adventurous,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait8,Adventurous ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait2,Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af5d7e-0253-78d6-fd9b-66ff30f7a5fa,neighbor,trait1,Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af654f-2bfa-7795-6da7-b2be8593d728,neighbor,trait1,age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af5ff8-a5ee-243c-b49a-9e24f4e85d95,friend,trait4,age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af6dc5-e019-18de-cf30-bb140643d009,friend,trait4,Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af4869-d30b-4fd7-6d18-6fd76c4cc0c3,friend,trait1,Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af4769-80af-abe8-653f-012b04409368,specific,trait1,Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af6515-7c53-837a-d151-94feba734053,specific,trait1,Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af4797-6a54-04b7-2231-e1601df0f20c,general,trait3,Age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af6c3a-1d1f-445c-e869-9607e3bb580b,general,trait2,age,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af7067-2fdf-5ff5-bfa4-5033fdba7503,neighbor,trait3,Age ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af4967-ce41-1144-2e16-05be4e3c9328,neighbor,trait1,Age Group,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af4828-5056-4ef9-950f-c4263a288a74,specific,trait3,Agreeableness ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64afdaaa-d3b6-2040-b715-e7fc28d6496f,general,trait1,alive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait8,alone,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af4a0c-b70e-52f7-2f15-648185412c3a,neighbor,trait1,Alone ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af5059-6c35-7f09-95af-8e4899592afa,friend,trait5,amazing ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af4828-5056-4ef9-950f-c4263a288a74,specific,trait5,Ambition,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait2,American,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64af5eba-840c-cca9-31f6-d63a8536c231,specific,trait1,American,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64af4c47-50c5-7570-1ea1-70d83e5e7d23,specific,trait1,American ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64af6c3a-1d1f-445c-e869-9607e3bb580b,general,trait6,americanness,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64af4879-eb36-b307-41e9-12663d95ba72,coworker,trait4,Amicable.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait2,an accountant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
