,rid,treatment,number,trait,coder1,coder2
1,64af4845-b796-197b-e753-8cd8b8d58606,neighbor,trait1,18,1,1
2,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait10, a senior citizen,13,1
3,64af6f1b-4fc9-7dde-43fb-07d110a9425e,coworker,trait5, fast learner,12,12
4,64af48ac-2bd4-e57a-753c-0a9a50f83e6a,friend,trait4, Good moral code,12,12
5,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait8,a musician,10,8
6,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait4,a parent,7,7
7,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait5,a pet parent,10,10
8,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait9,a retail worker,8,8
9,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait6,a spouse,7,7
10,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait3,a student,15,15
11,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait1,a woman,2,2
12,64af478e-958e-213d-a5df-c143fa742dce,friend,trait9,Able to have fun not always serious,12,12
13,64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait9,Absolute ,12,12
14,64af4892-0026-d304-14c6-bf0ee0ca010e,friend,trait2,Acceptance,12,12
15,64af47f0-c3a1-c5b2-9f57-4566dd648c94,coworker,trait10,accepting ,12,12
16,64af47d5-d253-b1e5-d37e-6c5e4c71c0c1,coworker,trait4,accurate,12,12
17,64af482d-28b8-56ad-1875-3f26d175d91d,specific,trait7,Actively participating in all indoor and outdoor activities ,12,10
18,64af7385-038d-4139-479f-aefed21d11c4,general,trait5,Adventure ,12,12
19,64af479e-58a1-fb9f-6b6a-ae4e012deb56,coworker,trait2,Adventurous,12,12
20,64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait8,Adventurous ,12,12
21,64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait2,Age,1,1
22,64af5d7e-0253-78d6-fd9b-66ff30f7a5fa,neighbor,trait1,Age,1,1
23,64af654f-2bfa-7795-6da7-b2be8593d728,neighbor,trait1,age,1,1
24,64af5ff8-a5ee-243c-b49a-9e24f4e85d95,friend,trait4,age,1,1
25,64af6dc5-e019-18de-cf30-bb140643d009,friend,trait4,Age,1,1
26,64af4869-d30b-4fd7-6d18-6fd76c4cc0c3,friend,trait1,Age,1,1
27,64af4769-80af-abe8-653f-012b04409368,specific,trait1,Age,1,1
28,64af6515-7c53-837a-d151-94feba734053,specific,trait1,Age,1,1
29,64af4797-6a54-04b7-2231-e1601df0f20c,general,trait3,Age,1,1
30,64af6c3a-1d1f-445c-e869-9607e3bb580b,general,trait2,age,1,1
31,64af7067-2fdf-5ff5-bfa4-5033fdba7503,neighbor,trait3,Age ,1,1
32,64af4967-ce41-1144-2e16-05be4e3c9328,neighbor,trait1,Age Group,1,1
33,64af4828-5056-4ef9-950f-c4263a288a74,specific,trait3,Agreeableness ,12,12
34,64afdaaa-d3b6-2040-b715-e7fc28d6496f,general,trait1,alive,13,15
35,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait8,alone,14,12
36,64af4a0c-b70e-52f7-2f15-648185412c3a,neighbor,trait1,Alone ,14,12
37,64af5059-6c35-7f09-95af-8e4899592afa,friend,trait5,amazing ,13,12
38,64af4828-5056-4ef9-950f-c4263a288a74,specific,trait5,Ambition,12,12
39,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait2,American,4,4
40,64af5eba-840c-cca9-31f6-d63a8536c231,specific,trait1,American,4,4
41,64af4c47-50c5-7570-1ea1-70d83e5e7d23,specific,trait1,American ,4,4
42,64af6c3a-1d1f-445c-e869-9607e3bb580b,general,trait6,americanness,4,4
43,64af4879-eb36-b307-41e9-12663d95ba72,coworker,trait4,Amicable.,12,12
44,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait2,an accountant,8,8
45,64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait7,an outdoorswoman,10,10
46,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait10,animal lover,10,10
47,64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait9,animal lover,10,10
48,64af482b-98b0-bc23-797b-0d39bb876a61,general,trait7,Anxious,12,12
49,64af7226-044e-72fd-3068-75f88bada5be,specific,trait2,Anxious ,12,12
50,64af6a40-a465-e0c4-ad12-e3649865c889,coworker,trait4,Are accepting and supporting of others,12,12
51,64af6a40-a465-e0c4-ad12-e3649865c889,coworker,trait3,Are qualified for the positions they have,13,12
52,64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait2,Are they clean,12,12
53,64af7d3a-8cfd-c62b-fdf0-989d8c0460ef,neighbor,trait1,Are they crazy ,12,12
54,64af5003-90f3-db2c-f5f4-01fef7e9e0d7,neighbor,trait3,Are they hard workers ,12,12
55,64af7d3a-8cfd-c62b-fdf0-989d8c0460ef,neighbor,trait2,Are they loud all day,12,12
56,64af5003-90f3-db2c-f5f4-01fef7e9e0d7,neighbor,trait5,Are they married ,7,7
57,64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait1,Are they quiet ,12,12
58,64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait6,Are they responsible ,12,12
59,64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait7,Are they self sufficient or needy,12,12
60,64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait5,Are they sex offenders,12,12
61,64af64e5-5950-df6c-c07d-445f2f9faeb1,neighbor,trait2,Around my age ,1,1
62,64af7385-038d-4139-479f-aefed21d11c4,general,trait3,Art ,10,13
63,64af7078-341e-175e-647a-e6641b34fa27,general,trait2,Artist,10,8
64,64af4728-d1a4-de80-f402-d30f21ffcb20,specific,trait9,Artistic,10,12
65,64af4859-0cef-fce3-77ec-a74be68b9944,general,trait10,Artistic,10,12
66,64af47da-9ef3-feab-bf2a-79620b670459,specific,trait8,Arts,10,13
67,64af72d2-7afb-03e0-6b33-48e4a0cc1fb4,specific,trait8,Astute ,12,12
68,64af4863-2241-0c3f-9b4f-20da57b56a2e,specific,trait10,Athletic ,12,12
69,64af4afd-ba85-0446-47f1-d7b65f2712ab,specific,trait4,athletic ,12,12
