rid,respondent_age,respondent_gender,respondent_hhi,respondent_race,respondent_hispanic,respondent_education,respondent_region,version,number,trait,shared_family,shared_friend,shared_acquaintance,shared_disliked,top3,top1,variable,category,age,gender,sexuality,"race, ethnicity, nationality",education,religion,family role,occupation,demographics,political views,hobbies and interests,physical body,"personality, behaviors, traits",ambiguous,none,other,none of the above
64af4a58-3b28-1e34-1ddb-e431fe77920c,60-69,Male,Prefer not to answer,White,No,Completed some college but no degree,South,general,2,retired,1,1,1,0,NA,NA,other,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64af5d9b-1136-2a7c-f84d-b54b32f3f859,70-79,Female,"Up to $49,999",Black or African American,No,Completed some college but no degree,South,specific,4,Retired,0,0,1,1,NA,NA,other,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64af5f4f-4c59-6faa-ad7c-1634802c4f5e,50-59,Male,"Up to $49,999",White,No,Master's or professional degree,Northeast,general,10,Lonely,0,0,0,0,NA,NA,other,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64af5f4f-4c59-6faa-ad7c-1634802c4f5e,50-59,Male,"Up to $49,999",White,No,Master's or professional degree,Northeast,general,4,Homeless,0,0,0,0,NA,NA,other,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64af5ff8-c8e9-901a-afe1-d382824e2a79,60-69,Female,"Up to $49,999",White,No,Associate's degree,South,general,3,a student,0,0,0,0,NA,NA,other,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64af62a6-e43c-4461-df5c-880fbbcac107,60-69,Male,"Up to $49,999",White,Prefer not to answer,Bachelor's degree,South,neighbor,1,Retired ,NA,NA,NA,NA,1,0,other,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64af7c93-0867-27e9-ac5a-6d2d9f2ce647,20-29,Female,"Up to $49,999",Black or African American,No,Bachelor's degree,Midwest,specific,4,Wealth,1,1,0,0,NA,NA,other,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64af4728-d1a4-de80-f402-d30f21ffcb20,70-79,Male,"Up to $49,999",White,No,Doctorate degree,South,specific,2,Friend,1,1,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4740-c673-062a-7f23-dce5d2723c30,70-79,Female,"$50,000 to $99,999",White,No,Doctorate degree,South,general,8,BELOVED,1,0,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af476a-6ca0-dd7c-3ec6-b95c3b64952f,50-59,Female,"Up to $49,999",White,No,Associate's degree,South,neighbor,5,Number of people ,NA,NA,NA,NA,1,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4786-cf86-1aa9-3354-14ff79cd925d,30-39,Female,"Up to $49,999",Prefer not to answer,Prefer not to answer,Bachelor's degree,South,friend,2,friendship,NA,NA,NA,NA,1,1,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af479b-c98b-950c-33d1-8e3b7c26017e,60-69,Male,"Up to $49,999",White,No,Doctorate degree,Midwest,friend,3,ideas,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af47b8-8c71-c408-8075-b411b7f5b2b1,60-69,Female,"$50,000 to $99,999",White,No,Doctorate degree,Midwest,neighbor,1,Work same hours as I do,NA,NA,NA,NA,1,1,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af47d9-f7f6-d1e3-43e3-8afcfab95087,30-39,Female,"Up to $49,999",White,No,Completed some college but no degree,Northeast,coworker,1,Pay,NA,NA,NA,NA,1,1,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af47d9-f7f6-d1e3-43e3-8afcfab95087,30-39,Female,"Up to $49,999",White,No,Completed some college but no degree,Northeast,coworker,2,Shifts,NA,NA,NA,NA,1,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
