rid,count,age,gender,hhi,ethnicity,hispanic,education,independent,republican,political_party,region,zip
64af46c9-11e3-8a07-0977-57f0daf977f2,10,66,1,12,1,15,8,0,0,1,1,18944
64af476a-6ca0-dd7c-3ec6-b95c3b64952f,5,54,2,3,1,1,5,0,0,1,3,77535
64af476e-7dfc-8217-488c-fffc58640357,3,63,2,2,1,1,8,0,0,1,3,78412
64af476f-a555-ba2f-13d7-16d6d504609a,3,70,2,6,1,1,6,0,0,1,2,43615
64af4792-e438-df90-c5d1-34f8a413a859,6,61,2,3,2,1,4,0,0,1,3,76549
64af479b-c98b-950c-33d1-8e3b7c26017e,6,68,1,2,1,1,8,0,0,1,2,55802
64af47a6-78ce-a60c-2f13-070d80ab1052,10,45,2,8,1,1,7,0,0,1,3,28621
64af47dd-1e3d-34b9-a055-1020e8ff1d67,4,78,2,3,1,1,7,0,0,1,2,61088
64af481a-7249-7534-93b0-49ce135fbd34,4,34,1,2,1,1,2,0,0,1,3,29341
64af4823-6964-dd22-230c-838abd142e99,10,55,2,10,2,1,5,0,0,1,3,24562
64af482b-98b0-bc23-797b-0d39bb876a61,10,31,2,NA,1,1,5,0,0,1,2,53558
64af4839-121f-7653-a558-26c1978168e8,2,51,2,1,1,1,2,0,0,1,3,22408
64af4845-b796-197b-e753-8cd8b8d58606,1,42,1,24,1,1,7,0,0,1,2,55408
64af4847-b740-32c2-fc46-2919d29267cd,10,47,1,5,2,1,6,0,0,1,2,53233
64af4869-d30b-4fd7-6d18-6fd76c4cc0c3,3,49,1,9,1,1,6,0,0,1,3,25831
64af487b-7f26-8260-2fb9-a4f5c1be764b,10,19,1,1,2,1,2,0,0,1,3,38115
64af4880-e170-b88a-887c-b8ca98798967,10,67,1,14,1,1,4,0,0,1,3,78130
64af48a2-4d41-07cc-4e1e-7bb430782130,1,48,1,3,1,1,5,0,0,1,3,33901
64af4943-aa1a-6940-3f7e-0202f2efc3fb,10,30,2,8,5,1,3,0,0,1,1,08557
64af4946-214b-1baf-c6ce-a405b8b4e24c,10,50,1,3,1,1,5,0,0,1,1,08088
64af49f3-801e-4d71-de06-cdb7a4edf99f,7,51,2,NA,9,1,7,0,0,1,4,98118
64af49f3-f897-5ce1-7d68-a5889548efef,10,48,1,1,1,1,4,0,0,1,3,29575
64af4a0c-b70e-52f7-2f15-648185412c3a,6,52,1,1,2,1,2,0,0,1,2,60649
64af4ac5-c0e3-5c04-6c51-7033f0320dcd,2,28,1,5,2,1,6,0,0,1,2,44132
64af4bfb-e9ae-f6bf-6e6d-a4f2366ae672,10,54,1,23,1,1,7,0,0,1,3,32792
64af5059-6c35-7f09-95af-8e4899592afa,10,23,2,8,1,2,5,0,0,1,4,88220
64af5c78-be40-b598-16a4-924eac749f8a,2,43,1,1,1,1,2,0,0,1,2,46208
64af5c87-ffd4-4bc2-b6bf-0820b93505fc,3,52,2,5,2,1,4,0,0,1,3,39108
64af5cc7-3a86-7e3a-8a07-9d9dde0961e8,6,23,2,1,10,1,1,0,0,1,2,27407
64af5e5a-f6ad-afd1-faed-6de97222fb61,5,55,2,1,2,1,2,0,0,1,3,23220
64af5ee3-8098-15c3-7de0-006aaa932325,4,34,2,11,1,1,4,0,0,1,3,32922
64af5ef5-9aa8-d462-da75-44f4c1634b9d,4,75,1,8,1,1,6,0,0,1,3,31313
64af5f42-016f-64f8-8eae-8639295e2cc4,2,46,1,1,2,1,2,0,0,1,3,23454
64af63f7-55b4-ea5e-6b0f-09e58a5da81a,10,60,2,3,1,1,4,0,0,1,3,75115
64af654f-2bfa-7795-6da7-b2be8593d728,4,55,1,2,1,1,8,0,0,1,3,29229
64af6569-177f-8078-2cd1-58dea16f9561,6,29,2,2,1,2,6,0,0,1,4,91724
64af672e-bbd6-5603-3cef-abde33887508,2,22,2,5,2,1,2,0,0,1,1,20879
64af682b-12a9-9121-94ca-1c4d836f0d90,6,49,1,10,1,1,4,0,0,1,4,98349
64af6857-291d-d05c-e0c6-4bbb519be8b8,3,18,2,4,3,3,2,0,0,1,3,33876
64af693a-9d3d-d09a-9b30-d9aa28bcc615,10,40,2,3,2,1,3,0,0,1,3,75241
64af6983-12bf-c908-ad91-a58fe2d192df,10,51,2,1,1,1,7,0,0,1,3,74063
64af6a40-a465-e0c4-ad12-e3649865c889,4,72,1,9,1,1,4,0,0,1,3,76244
64af6de3-4081-1d80-de1c-8bc83d3dca5a,10,31,2,13,1,2,2,0,0,1,3,76107
64af72d2-7afb-03e0-6b33-48e4a0cc1fb4,10,61,2,12,1,1,4,0,0,1,4,85205
64af73b4-c7ec-8d80-23b4-a247a93ef43c,7,33,2,2,3,1,7,0,0,1,2,48529
64af783d-846e-c206-a8c9-ca99f689f14d,10,43,2,12,2,1,2,0,0,1,2,48205
64af7aa5-84fb-70b2-ffe9-17e1b494a5be,7,18,2,3,2,1,2,0,0,1,3,30349
64af7b75-2458-e518-dbde-616d2f2a6799,10,50,2,2,2,1,2,0,0,1,3,30453
64af7c93-0867-27e9-ac5a-6d2d9f2ce647,4,25,2,1,2,1,6,0,0,1,2,60659
64afb89a-418a-3c65-fdeb-568eeeb1a20b,10,20,1,1,1,1,4,0,0,1,2,54302
64afd3e6-e247-e7bf-8a7c-32199e60e5a8,10,47,1,1,1,1,2,0,0,1,3,26059
64afd556-f2d8-6f04-7066-80a56d03d015,4,36,1,19,1,1,7,0,0,1,1,11780
64aff1ac-8022-931b-fc2f-5151c185192a,2,34,1,4,2,1,2,0,0,1,3,32922
64af4728-d1a4-de80-f402-d30f21ffcb20,10,76,1,8,1,1,8,0,1,10,3,34698
64af4769-80af-abe8-653f-012b04409368,10,76,2,11,1,1,6,0,1,10,3,42104
64af4780-304a-a72b-c347-08145c14aa0d,10,44,2,3,1,1,2,0,1,10,3,31072
64af4794-0621-3036-464a-64588d30e10d,10,41,1,4,1,1,4,0,1,10,2,67460
64af47d5-6512-954b-ed87-365fb6977bc6,2,63,2,9,1,1,4,0,1,10,3,79412
64af47f1-b313-b356-f9bb-63f26ba8ffd6,10,54,2,1,1,1,6,0,1,10,4,91504
64af47fc-22de-6b90-b0cf-05a4031add86,10,28,2,6,2,1,8,0,1,10,3,77077
64af4810-b4a8-427c-27c2-2b9893b1ebc2,5,71,1,7,1,1,4,0,1,10,3,35906
64af4847-4a29-2493-e176-097f7a869d23,4,19,2,NA,1,1,2,0,1,10,3,29812
64af4863-2241-0c3f-9b4f-20da57b56a2e,10,22,2,1,1,1,2,0,1,10,2,48048
64af4892-0026-d304-14c6-bf0ee0ca010e,3,24,2,10,1,1,4,0,1,10,2,46614
64af4910-9e46-3416-aad8-e97bb1b61ad0,3,39,1,6,1,1,4,0,1,10,1,35160
64af4c47-50c5-7570-1ea1-70d83e5e7d23,10,33,1,21,1,1,6,0,1,10,1,11735
64af4db8-44c0-88ed-4bed-db398a99a520,6,32,1,16,1,1,7,0,1,10,4,83619
64af5003-90f3-db2c-f5f4-01fef7e9e0d7,10,56,1,4,15,2,4,0,1,10,4,85041
64af5d69-c8ec-d859-fd32-f0368ec20a08,4,29,1,2,1,1,4,0,1,10,2,47802
64af5d7d-ae0b-3a4d-4f32-676278a40d64,10,67,2,10,1,1,8,0,1,10,3,23185
64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,10,73,2,NA,1,1,8,0,1,10,2,45322
64af5ea4-08f4-2c0b-de7a-c27c16e9c4ec,3,65,1,7,1,1,5,0,1,10,2,50625
64af5ff8-c8e9-901a-afe1-d382824e2a79,10,68,2,4,1,1,5,0,1,10,3,22701
64af633e-7784-78ee-e986-1b46b65d255b,4,61,2,22,1,2,6,0,1,10,3,78374
64af6479-44b3-38e7-66ee-901ee4dca923,7,32,2,5,1,1,1,0,1,10,2,46016
64af674b-3fd3-3039-10ee-b1c4c72ddae0,6,53,2,1,1,1,8,0,1,10,3,37659
64af686d-9521-0c2c-3eb7-262d5e1e8988,5,29,2,11,1,1,6,0,1,10,3,72461
64af68a1-d76c-2d72-8a85-45e436c82c3e,5,60,2,NA,1,1,8,0,1,10,3,38059
64af6dc5-e019-18de-cf30-bb140643d009,10,75,2,3,1,1,2,0,1,10,3,75150
64af725e-6579-d9a4-8b7e-1142de686b63,4,20,2,3,2,1,2,0,1,10,1,45229
64afe667-ae7b-fdd3-dc3f-f7b8b5434a4b,2,74,1,9,1,1,8,0,1,10,3,74133
64af46c3-9044-43dc-325d-4b64f5477846,8,78,1,8,1,3,8,0,0,2,2,60640
64af4756-02f6-fe50-223f-5a76f1181a9e,2,41,1,3,1,1,6,0,0,2,3,78162
64af479f-8b59-4bb6-99e4-4f13539d2fe1,10,66,2,10,2,1,3,0,0,2,3,32778
64af47d5-d253-b1e5-d37e-6c5e4c71c0c1,6,52,2,3,1,1,4,0,0,2,2,56011
64af47f6-4ba4-18db-6d4b-2395820dca81,5,63,2,7,1,1,7,0,0,2,4,92509
64af4858-6385-24f6-cbfa-3951c3e6b642,5,34,2,6,1,1,4,0,0,2,4,89706
64af4912-88d5-6faf-f9ec-6257b133c62e,10,24,1,6,8,1,4,0,0,2,4,94545
64af4993-9962-d8f5-306c-de7704f248c2,10,28,2,3,15,2,6,0,0,2,4,93706
64af4e10-07c8-4b88-b526-f6cd841590f7,10,29,1,NA,1,1,2,0,0,2,1,17201
64af5d7e-0253-78d6-fd9b-66ff30f7a5fa,3,27,1,10,16,15,8,0,0,2,1,11357
64af5d8a-2659-bad9-3234-72a26df5ba9c,2,71,1,9,1,1,7,0,0,2,2,55311
64af5d92-7309-83d7-78a1-fe90ca4a3c4e,5,31,2,10,1,1,6,0,0,2,3,33023
64af5da0-2ac0-88e0-8cbb-b2dbcae777d8,4,38,2,7,1,1,4,0,0,2,2,52043
64af5e15-c51c-9a16-e0f0-23c67870a59b,3,68,1,4,1,1,3,0,0,2,2,64137
64af5e73-fbe5-2130-baa9-59e508cca2a2,2,30,2,1,2,1,7,0,0,2,3,70117
64af5f4f-4c59-6faa-ad7c-1634802c4f5e,10,53,1,2,1,1,7,0,0,2,1,16803
64af5ff8-a5ee-243c-b49a-9e24f4e85d95,6,68,1,9,1,1,7,0,0,2,4,95834
64af60ad-8ee3-1b44-5494-ec3243f36881,4,65,2,9,2,1,7,0,0,2,1,25701
64af635c-a42a-87d7-d73c-fd9eb3ebac9c,4,36,2,5,1,1,6,0,0,2,3,22556
64af63ff-8941-7d2a-ceff-bc53d7eadd5e,10,31,1,1,2,1,5,0,0,2,4,80016
64af69a1-2993-0bec-8a7d-8750602e8fd5,1,44,2,19,2,1,6,0,0,2,2,46321
64af6c74-63da-b379-51ab-f9234047de3c,4,45,2,4,1,2,4,0,0,2,3,78229
64af6cea-3aaa-15a3-eab8-069c38ba948b,3,21,2,19,1,1,6,0,0,2,3,33132
64af7226-044e-72fd-3068-75f88bada5be,10,24,2,3,1,2,4,0,0,2,3,73501
64af7d3a-8cfd-c62b-fdf0-989d8c0460ef,2,24,2,1,2,1,2,0,0,2,3,38125
64af7de2-33f4-8900-080f-d8d5ff21f178,5,52,2,9,1,1,4,0,0,2,1,07921
64af477e-6188-f2ce-d978-1b2bea37eec3,10,20,1,1,1,1,4,0,0,3,1,02420
64af478e-958e-213d-a5df-c143fa742dce,10,74,2,9,1,1,7,0,0,3,3,32218
64af4797-6a54-04b7-2231-e1601df0f20c,5,57,2,5,1,1,8,0,0,3,3,25564
64af47da-9ef3-feab-bf2a-79620b670459,10,67,2,20,1,1,5,0,0,3,3,30305
64af47f3-bc71-2b6a-14f3-165e8efeeb69,5,34,2,NA,1,1,6,0,0,3,3,33472
64af4828-5056-4ef9-950f-c4263a288a74,10,31,2,9,1,1,6,0,0,3,3,26554
64af4831-cf25-f482-4a71-6b189cddd1ec,5,45,2,1,1,1,4,0,0,3,1,02920
64af4847-7db2-3ed8-ab14-e7ef2557e318,3,25,2,NA,1,1,2,0,0,3,3,29544
64af4859-0cef-fce3-77ec-a74be68b9944,10,39,2,1,1,1,6,0,0,3,2,64068
64af4879-eb36-b307-41e9-12663d95ba72,6,34,1,8,15,2,6,0,0,3,2,53221
64af493c-ca5e-e646-b772-98a23e642ab9,4,57,1,1,1,1,2,0,0,3,3,75208
64af49f3-2d06-c7b7-d3dd-b2ea7095dd36,10,56,1,1,1,1,2,0,0,3,1,08079
64af4a1b-503c-23de-8614-b7941e01a442,3,27,1,1,1,1,2,0,0,3,1,16150
64af4b9c-8085-748a-3af4-8a320de06c02,3,30,1,12,1,1,6,0,0,3,3,37643
64af4def-1b72-7648-6c97-8043502e8184,5,33,1,9,1,1,4,0,0,3,2,54143
64af5c09-08a3-f425-e964-8804fe5bbfd3,5,41,2,19,1,1,6,0,0,3,1,14724
64af5f31-c372-0008-009b-728a71afe522,10,42,1,5,1,1,4,0,0,3,3,70114
64af6354-5de1-b523-5d6f-3110cda30e73,4,29,2,7,2,1,6,0,0,3,3,30228
64af64e5-5950-df6c-c07d-445f2f9faeb1,7,18,2,4,2,1,2,0,0,3,1,08854
64af68ee-0956-f11d-c535-2a45265fc6cc,3,48,1,14,2,1,6,0,0,3,2,57350
64af696c-86ba-0996-dc27-9b4360bc4461,2,24,2,3,2,1,2,0,0,3,1,10292
64af6b19-0eff-2013-27e2-2a53c8d47f63,8,59,2,1,1,1,6,0,0,3,3,78626
64af735e-4af2-448d-28e9-91accc55a0ba,2,40,2,12,8,1,6,0,0,3,4,91748
64af7d2f-5785-033f-adc9-75505ba79806,1,40,2,19,1,1,1,0,0,3,1,02141
64af4740-c673-062a-7f23-dce5d2723c30,10,76,2,12,1,1,8,1,0,4,3,33511
64af4786-cf86-1aa9-3354-14ff79cd925d,5,31,2,1,16,15,6,1,0,4,3,78704
64af4787-166e-0a03-bb07-484034c33cce,3,58,2,4,1,1,7,1,0,4,3,74063
